Time (s),Pressure (MPa)
0,1.608
0.001026087,1.678268354
0.002052174,1.745932814
0.003078261,1.810745773
0.004104348,1.873115717
0.005130435,1.944608696
0.006156522,2.068926087
0.007182609,2.187269565
0.008208696,2.299813043
0.009234783,2.406695652
0.01026087,2.519247826
0.011286957,2.623086957
0.012313043,2.718086957
0.01333913,2.805486957
0.014365217,2.885521739
0.015391304,2.958491304
0.016417391,3.024108696
0.017443478,3.082495652
0.018469565,3.137169565
0.019495652,3.180591304
0.020521739,3.214717391
0.021547826,3.24503913
0.022573913,3.275843478
0.0236,3.3063
0.024626087,3.336256522
0.025652174,3.365517391
0.026678261,3.396173913
0.027704348,3.427065217
0.028730435,3.457773913
0.029756522,3.487669565
0.030782609,3.516582609
0.031808696,3.545095652
0.032834783,3.574473913
0.03386087,3.603904348
0.034886957,3.632586957
0.035913043,3.662252174
0.03693913,3.696578261
0.037965217,3.738626087
0.038991304,3.7825
0.040017391,3.825913043
0.041043478,3.867034783
0.042069565,3.906304348
0.043095652,3.945217391
0.044121739,3.983504348
0.045147826,4.019078261
0.046173913,4.052869565
0.0472,4.0801
0.048226087,4.1012
0.049252174,4.119682609
0.050278261,4.140430435
0.051304348,4.162182609
0.052330435,4.184678261
0.053356522,4.208613043
0.054382609,4.234513043
0.055408696,4.262126087
0.056434783,4.289969565
0.05746087,4.318804348
0.058486957,4.349582609
0.059513043,4.380978261
0.06053913,4.41723913
0.061565217,4.463326087
0.062591304,4.511973913
0.063617391,4.560417391
0.064643478,4.6076
0.065669565,4.65336087
0.066695652,4.697817391
0.067721739,4.740447826
0.068747826,4.78186087
0.069773913,4.822334783
0.0708,4.8559
0.071826087,4.88193913
0.072852174,4.905043478
0.073878261,4.929365217
0.074904348,4.955421739
0.075930435,4.983252174
0.076956522,5.012708696
0.077982609,5.043295652
0.079008696,5.07536087
0.080034783,5.108678261
0.08106087,5.145008696
0.082086957,5.192426087
0.083113043,5.245765217
0.08413913,5.299230435
0.085165217,5.35136087
0.086191304,5.401856522
0.087217391,5.450817391
0.088243478,5.498326087
0.089269565,5.54493913
0.090295652,5.5902
0.091321739,5.629104348
0.092347826,5.659082609
0.093373913,5.684195652
0.0944,5.7101
0.095426087,5.738578261
0.096452174,5.768117391
0.097478261,5.799326087
0.098504348,5.832052174
0.099530435,5.87033913
0.100556522,5.919626087
0.101582609,5.974178261
0.102608696,6.029943478
0.103634783,6.083978261
0.10466087,6.136943478
0.105686957,6.189034783
0.106713043,6.239952174
0.10773913,6.290378261
0.108765217,6.339530435
0.109791304,6.382569565
0.110817391,6.416104348
0.111843478,6.446547826
0.112869565,6.477556522
0.113895652,6.510256522
0.114921739,6.545482609
0.115947826,6.586704348
0.116973913,6.638591304
0.118,6.696
0.119026087,6.75306087
0.120052174,6.809469565
0.121078261,6.864569565
0.122104348,6.918821739
0.123130435,6.972082609
0.124156522,7.024382609
0.125182609,7.074865217
0.126208696,7.118878261
0.127234783,7.154317391
0.12826087,7.186743478
0.129286957,7.220543478
0.130313043,7.258173913
0.13133913,7.308234783
0.132365217,7.364252174
0.133391304,7.422986957
0.134417391,7.481956522
0.135443478,7.540278261
0.136469565,7.598373913
0.137495652,7.65586087
